,ID,POINT,NAME,CHARACTERISTIC,VALUE,UNIT,,,,,,,,,
&,1,0,MANOMETER_INTROL,,,,,,,,,,,,
,,,,x,Voltage,V,0.0,5.0,,,,,,,
,,,,y,Preassure,bar,0.0,4.0,,,,,,,
&,3,0,STARTER_FAN,,,,,,,,,,,,
,,,,x,Combustion_temp,K,260.0,310.0,1400.0,,,,,,
,,,,y,Power,%,2.0,2.0,40.0,,,,,,
&,7,1,FLOWMETER_AIR,,,,,,,,,,,,
,,,,x,Voltage,V,1.2390,1.3644,1.5241,1.8748,2.3710,2.9998,3.7494,4.1695,4.4578
,,,,y,Flow,m3/h,8.0,10.0,15.0,30.0,60.0,120.0,250.0,370.0,480.0
&,8,1,MANOMETER_INTROL,,,,,,,,,,,,
,,,,x,Voltage,V,0.0,5.0,,,,,,,
,,,,y,Preassure,bar,0.0,4.0,,,,,,,
&,10,2,GAS_VALVE,,,,,,,,,,,,
,,,,x,Combustion_temp,K,260.0,310.0,1400.0,,,,,,
,,,,y,open_level,%,2.0,2.0,40.0,,,,,,
&,13,3,MANOMETER_INTROL,,,,,,,,,,,,
,,,,x,Voltage,V,0.0,5.0,,,,,,,
,,,,y,Preassure,bar,0.0,4.0,,,,,,,
&,16,4,WASTEGATE,,,,,,,,,,,,
,,,,x,Rev,RPS,100000.0,12000.0,,,,,,,
,,,,y,Angle,deg,20.0,30.0,,,,,,,
&,&,&,&,,,,,,,,,,,,
